camera_shop_name,camera_shop_url,camera_shop_address,camera_shop_phone_number,camera_shop_hours
D-BASE,https://en.yelp.com.hk/biz/d-base-%E9%A6%99%E6%B8%AF,"Shop 111, 1/F, Wan Chai Computer Centre, 130 Hennessy Road",2915 3782,"Hours
Mon 10:00 am - 9:00 pm Open now
Tue 10:00 am - 9:00 pm
Wed 10:00 am - 9:00 pm
Thu 10:00 am - 9:00 pm
Fri 10:00 am - 9:00 pm
Sat 10:00 am - 9:00 pm
Sun 10:30 am - 8:00 pm
Edit business info"
AGFA DIGITAL EXPRESS,https://en.yelp.com.hk/biz/%E6%95%B8%E7%A2%BC%E5%BF%AB%E7%B7%9A-%E9%A6%99%E6%B8%AF,"Shop 16, G/F, 3-9 Wing Wo Street",2581 3916,"Hours
Mon 9:00 am - 7:00 pm Open now
Tue 9:00 am - 7:00 pm
Wed 9:00 am - 7:00 pm
Thu 9:00 am - 7:00 pm
Fri 9:00 am - 7:00 pm
Sat 9:00 am - 6:00 pm
Sun Closed
Edit business info"
DIGITAL FOTO,https://en.yelp.com.hk/biz/digital-foto-%E9%A6%99%E6%B8%AF,130 Hennessy Road,,"Hours
Mon 10:00 am - 9:00 pm Open now
Tue 10:00 am - 9:00 pm
Wed 10:00 am - 9:00 pm
Thu 10:00 am - 9:00 pm
Fri 10:00 am - 9:00 pm
Sat 10:00 am - 9:00 pm
Sun 10:00 am - 9:00 pm
Edit business info"
SUNRISE PROFESSIONAL PHOTOFINISHING,https://en.yelp.com.hk/biz/%E6%9D%B1%E6%98%87%E5%B0%88%E6%A5%AD%E6%B2%96%E5%8D%B0-%E9%A6%99%E6%B8%AF,"G/F, 333 Lai Chi Kok Road",2386 2048,"Hours
Mon 10:30 am - 8:00 pm Open now
Tue 10:30 am - 8:00 pm
Wed 10:30 am - 8:00 pm
Thu 10:30 am - 8:00 pm
Fri 10:30 am - 8:00 pm
Sat 10:30 am - 8:00 pm
Sun Closed
Edit business info"
WING SHING PHOTO SUPPLIES CO.,https://en.yelp.com.hk/biz/%E6%B0%B8%E6%88%90%E6%94%9D%E5%BD%B1%E5%99%A8%E6%9D%90-%E9%A6%99%E6%B8%AF,"G/F, 55-69 Sai Yeung Choi Street South",2396 6886,"Hours
Mon 10:00 am - 9:30 pm Open now
Tue 10:00 am - 9:30 pm
Wed 10:00 am - 9:30 pm
Thu 10:00 am - 9:30 pm
Fri 10:00 am - 9:30 pm
Sat 10:00 am - 9:30 pm
Sun 10:00 am - 9:30 pm
Edit business info"
PHOTO SCIENTIFIC,https://en.yelp.com.hk/biz/%E6%94%9D%E5%BD%B1%E7%A7%91%E5%AD%B8-%E9%A6%99%E6%B8%AF-3,Located in Wing Sing Commercial Centre,2525 0550,"Hours
Mon 10:00 am - 6:30 pm Open now
Tue 10:00 am - 6:30 pm
Wed 10:00 am - 6:30 pm
Thu 10:00 am - 6:30 pm
Fri 10:00 am - 6:30 pm
Sat 10:00 am - 3:00 pm
Sun Closed
Edit business info"
TIN CHEUNG CAMERA,https://en.yelp.com.hk/biz/%E5%A4%A9%E7%A5%A5%E6%94%9D%E5%BD%B1%E5%99%A8%E6%9D%90%E5%85%AC%E5%8F%B8-%E9%A6%99%E6%B8%AF-5,Located in iSQUARE,Located in iSQUARE,"Hours
Mon 11:00 am - 8:00 pm Open now
Tue 11:00 am - 8:00 pm
Wed 11:00 am - 8:00 pm
Thu 11:00 am - 8:00 pm
Fri 11:00 am - 8:00 pm
Sat 11:00 am - 8:00 pm
Sun 11:00 am - 8:00 pm
Edit business info"
DOT-WELL PHOTO WORKSHOP,https://en.yelp.com.hk/biz/%E5%A4%A9%E7%A5%A5%E6%94%9D%E5%BD%B1%E6%B2%96%E5%8D%B0-%E9%A6%99%E6%B8%AF,"G/F, Carnarvon Mansion, 44 Carnarvon Road, 44 Carnarvon RoadTsim Sha Tsui",2368 3826,"Hours
Mon 11:30 am - 8:30 pm Open now
Tue 11:30 am - 8:30 pm
Wed 11:30 am - 8:30 pm
Thu 11:30 am - 8:30 pm
Fri 11:30 am - 8:30 pm
Sat 11:30 am - 8:30 pm
Sun 11:30 am - 8:30 pm
Edit business info"
MINT STORE,https://en.yelp.com.hk/biz/%E5%AF%B6%E9%BA%97%E4%BE%86%E7%9B%B8%E6%A9%9F%E9%A6%99%E6%B8%AF%E5%B0%88%E8%B3%A3%E5%BA%97-%E9%A6%99%E6%B8%AF,"2/F, 26A Russell Street (near Times Square)",2720 0222,"Hours
Mon 1:00 pm - 9:30 pm Open now
Tue 1:00 pm - 9:30 pm
Wed 1:00 pm - 9:30 pm
Thu 1:00 pm - 9:30 pm
Fri 1:00 pm - 9:30 pm
Sat 1:00 pm - 9:30 pm
Sun 1:00 pm - 9:30 pm
Edit business info"
DRAGON IMAGE,https://en.yelp.com.hk/biz/dragon-image-hong-kong,"Flat B, 1/F, 6B O'Brien Rd",2527 5298,"Hours
Mon 10:00 am - 8:00 pm Open now
Tue 10:00 am - 8:00 pm
Wed 10:00 am - 8:00 pm
Thu 10:00 am - 8:00 pm
Fri 10:00 am - 8:00 pm
Sat 10:00 am - 8:00 pm
Sun Closed
Edit business info"
